"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","106.2062","102.8116","99.417","94.4542","89.4914","84.5286","79.5658","74.603","71.665","68.727","65.789","62.851","59.913","59.0044","58.0958","57.1872","56.2786","55.37","54.9542","54.5384","54.1226","53.7068","53.291","53.0288","52.7666","52.5044","52.2422","51.98","51.41","50.84","50.27","49.7","49.13","48.7648","48.3996","48.0344","47.6692","47.304","46.067","44.83","43.593","42.356","41.119","39.6676","38.2162","36.7648","35.3134","33.862","32.792","31.722","30.652","29.582","28.512","27.3444","26.1768","25.0092","23.8416","22.674","21.1736","19.6732","18.1728","",
"Africa Eastern and Southern","AFE","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","140.120535429173","140.594564485197","141.128108882973","141.323439955086","141.508160110149","141.668896399871","141.879704434683","141.983225370177","142.020167812605","142.010506005654","142.03345774408","142.279778342562","142.629355610547","142.469778120732","142.290485866878","142.053901339627","141.730609468301","141.396422954815","140.774086820612","140.15009430954","139.513693106941","138.804554176202","138.071244070496","137.058142544981","136.059339496821","135.08785021189","134.103381345026","133.15226701991","132.012111144769","130.869066698407","129.717498115725","128.562196813366","127.400373348962","126.969852265088","126.495358199085","125.972751294748","125.39869271628","124.772066858943","123.657334539271","122.560575877642","121.519840954294","120.546674979575","119.645856429561","118.446958547589","117.288050585481","116.146693126914","114.987432696564","113.827195593359","112.201443863964","110.530965345956","108.813522681839","107.052621813853","105.256165526204","103.391460549283","101.54178202898","99.7197986558336","97.9166010264556","96.146492271639","94.6952233673467","93.2319436299549","91.7447123524383","",
"Afghanistan","AFG","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","145.245","145.245","145.245","145.245","145.245","145.245","145.245","145.245","145.245","145.245","145.245","145.245","145.245","146.2136","147.1822","148.1508","149.1194","150.088","151.1966","152.3052","153.4138","154.5224","155.631","156.7438","157.8566","158.9694","160.0822","161.195","161.7418","162.2886","162.8354","163.3822","163.929","164.1888","164.4486","164.7084","164.9682","165.228","161.469","157.71","153.951","150.192","146.433","143.7648","141.0966","138.4284","135.7602","133.092","126.633","120.174","113.715","107.256","100.797","94.429","88.061","81.693","75.325","68.957","65.141","61.325","57.509","",
"Africa Western and Central","AFW","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","172.290535649689","172.132695892306","171.943573783203","171.571235570678","171.25593263661","171.021537650225","170.84649572444","170.73501065475","171.40304803554","172.026084825059","172.577932300363","173.094227700106","173.560490168955","173.794591759878","174.014944261611","174.240260093627","174.479181840439","174.72463760796","173.738729441041","172.746147919562","171.750017462709","170.762813364254","169.783447996184","167.903979596606","166.025955748889","164.149308853721","162.258626151592","160.369416591648","158.317920382642","156.266616582237","154.21998172467","152.15723127367","150.100152825567","148.575825063752","147.063362783907","145.564186389674","144.051574242091","142.556741536181","141.275142829447","139.992240818277","138.706331263256","137.409145264226","136.112319253606","134.678489110143","133.259599581516","131.864745831598","130.468163379317","129.10152271607","127.711613664287","126.321891031445","124.926980298372","123.515297545612","122.104179205735","120.247258526536","118.394458552661","116.546851543272","114.699146262233","112.847045716325","111.056405501554","109.25192283229","107.432575339199","",
"Angola","AGO","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","202.2","204.6","207","209.4","211.8","214.2","216.6","219","220.2","221.4","222.6","223.8","225","224.736","224.472","224.208","223.944","223.68","223.68","223.68","223.68","223.68","223.68","223.344","223.008","222.672","222.336","222","220.2","218.4","216.6","214.8","213","210.9","208.8","206.7","204.6","202.5","200.5664","198.6328","196.6992","194.7656","192.832","190.5114","188.1908","185.8702","183.5496","181.229","178.4632","175.6974","172.9316","170.1658","167.4","164.0252","160.6504","157.2756","153.9008","150.526","147.958","145.39","142.822","",
"Albania","ALB","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","54.4408","56.1654","57.89","55.368","52.846","50.324","47.802","45.28","42.1176","38.9552","35.7928","32.6304","29.468","28.6554","27.8428","27.0302","26.2176","25.405","23.6676","21.9302","20.1928","18.4554","16.718","16.6428","16.5676","16.4924","16.4172","16.342","16.8202","17.2984","17.7766","18.2548","18.733","18.8524","18.9718","19.0912","19.2106","19.33","19.2324","19.1348","19.0372","18.9396","18.842","18.765","18.688","18.611","18.534","18.457","18.9116","19.3662","19.8208","20.2754","20.73","20.5124","20.2948","20.0772","19.8596","19.642","19.5724","19.5028","19.4332","",
"Andorra","AND","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","134.77234855221","135.3438462711","136.030220856851","135.898034897064","135.721830581207","135.387541309651","134.6611991762","133.778999143749","131.298721055347","128.85221712015","126.533792559587","124.318310575549","122.271106583215","120.012104628944","117.734789465103","115.377236739934","112.928422191792","110.411386994278","106.545710626406","102.733963323108","99.0047815891814","95.382602665225","91.8032370523931","88.8801013756556","85.9386683147374","82.9752363887593","79.9449540694716","76.9110294015933","74.8494097876904","72.819388757921","71.1396456111931","69.0682954783595","67.3323790060171","65.348865406176","63.3730962910886","61.2398793179535","59.2608899597976","57.2691505016007","56.2542782302807","55.281522008289","54.3460481780362","53.3094051144785","52.2977388889535","51.8978241328413","51.5383850418097","51.2129638911209","50.8396020226485","50.5195358863057","50.305290568565","50.1192044261199","49.966897078299","49.8669676715239","49.7910668476932","49.3453591765536","48.8539979631416","48.279737869624","47.5047393913232","46.6871192585151","46.0027225819805","45.2453686562773","44.4066110405967","",
"United Arab Emirates","ARE","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","176.9534","176.4412","175.929","175.4168","174.9046","174.3924","173.8802","173.368","171.729","170.09","168.451","166.812","165.173","161.5878","158.0026","154.4174","150.8322","147.247","141.4758","135.7046","129.9334","124.1622","118.391","109.7458","101.1006","92.4554","83.8102","75.165","68.5864","62.0078","55.4292","48.8506","42.272","39.3358","36.3996","33.4634","30.5272","27.591","27.1906","26.7902","26.3898","25.9894","25.589","26.4506","27.3122","28.1738","29.0354","29.897","27.2716","24.6462","22.0208","19.3954","16.77","14.7252","12.6804","10.6356","8.5908","6.546","5.8868","5.2276","4.5684","",
"Argentina","ARG","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","61.388","61.248","61.108","60.9702","60.8324","60.6946","60.5568","60.419","62.0152","63.6114","65.2076","66.8038","68.4","71.3242","74.2484","77.1726","80.0968","83.021","81.257","79.493","77.729","75.965","74.201","74.0408","73.8806","73.7204","73.5602","73.4","73.431","73.462","73.493","73.524","73.555","72.8042","72.0534","71.3026","70.5518","69.801","68.6524","67.5038","66.3552","65.2066","64.058","63.834","63.61","63.386","63.162","62.938","63.0638","63.1896","63.3154","63.4412","63.567","63.41","63.253","63.096","62.939","62.782","62.5654","62.3488","62.1322","",
