Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,997.3452649,1026.535397,1019.769151,944.8575728,935.6340196,955.604131,1261.650837,975.6044601,1012.078258,1040.680471,1206.112494,1270.246708,1019.765255,1345.037688,1292.136751,1241.279039,1357.682961,1364.655824,1278.227986,1371.144956,1642.769058,1330.478546,1058.916116,1061.108285,1365.891107,1323.439052,1252.834303,1347.850179,1521.556562,1382.810366,1364.936487,949.6729029,1427.680683,1374.695849,1186.38351,1445.181361,1341.018135,1318.214344,1376.841335,1459.724505,1442.820237,1453.381135,1296.064498,1394.049728,1397.374042,1458.734304,1481.87591,1543.356014,1637.575637,1768.990794,1720.800433,1651.989944,1536.668389,1644.104399,1637.055779,1511.575987,1785.798699,1730.276067,1745.66776,1830.00208,
Afghanistan,AFG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1115.1,1079,985.8,1082.8,1098.9,1012.3,1224.5,1287.5,1310.4,1105.1,976.2,1006.9,1279.6,1301.9,1316.4,1362.4,1224,1291.9,1323.7,1349,1338.3,1330.2,1355.6,1334.1,1331.7,1314,1359.8,1285.7,1237.6,1200.6,1160.4,1097.8,1132.9,1140.4,1214.5,1204.4,1348.8,1388,1285.7,806.3,1006.7,1669.8,1458,1334.8,1790.4,1551.7,1915.3,1455.4,2040.7,2011.1,1659.9,2029.6,2048.5,2017.5,2132.2,1980.4,2023.2,2162.6,2113.4,1979.9,
Africa Western and Central,AFW,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,675.3548155,702.2444559,698.0325257,691.1341873,658.3434424,643.8725076,684.3052508,666.7837728,654.6722975,691.0070343,692.2179577,639.2501163,643.4429618,829.8098271,818.8812042,691.3970613,744.4430957,777.074924,788.7698302,806.5183538,947.0383758,928.1387817,884.1689678,879.9716522,958.6947223,950.6567885,944.7141129,1005.191079,964.3806307,875.0109676,918.3485973,907.5454759,928.9948075,902.4609186,962.0495807,987.2440475,966.8490566,998.3674332,1032.232225,971.6265092,1001.99826,1011.113025,1075.369127,1089.556369,1143.374626,1180.559462,1107.140706,1231.758342,1192.05415,1186.055579,1063.10061,1189.862001,1113.771391,1193.819795,1238.347637,1234.519705,1202.694484,1247.204466,1280.327082,1295.738159,
Angola,AGO,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,828,830.3,798.4,875.8,932,824.3,814.6,805.7,898.9,911.3,805.7,780.3,764,712.6,773.9,775.5,603.1,667.1,509.2,617.9,451.1,450.6,484.6,466,449.1,379.8,381.2,332.4,277.4,320.9,417.5,397.1,268,298.4,401.5,653.1,567.4,701.6,620.4,564.4,585.4,627.2,646.1,491.7,583.4,445.9,464.3,652.7,571.4,629.3,662.4,552,814.4,888.2,982.4,865.4,806.2,939.1,952.8,906.6,
Albania,ALB,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,845.2,941.8,982.3,1023.3,1037.3,1318.6,1464.1,1553.7,1639.8,1646.1,1753.6,1768.7,1843,1934.5,2028.9,2445.1,2550.1,2620.2,2634.8,2364,2500.6,2715.2,3046,2966.3,2900.6,2990.3,2965.6,2875,2961.7,2794.4,2071.9,2158.6,2685,2460.9,2841.5,2450.9,2833.3,2872.1,2798.1,3175.1,3030.8,3291.9,3185.7,3466.3,3462.1,3602.6,3728.4,4081.2,4315.3,4761.8,4750.7,4883.8,4949.8,4892.6,4873.8,4716.4,4813,4840.5,5038.2,5209.2,
Andorra,AND,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,782.793101,1139.948023,1058.281005,998.2131503,1048.708825,914.7651049,1023.385671,1247.851533,1124.990415,1047.043289,1180.147517,1302.40136,988.4790929,1163.978494,1158.055752,1216.302211,969.8988877,1150.789589,1077.589824,1277.715315,1165.941554,1273.073032,1152.106438,1185.781421,1370.521936,1526.890668,1381.032765,1766.800123,1471.582674,1577.809041,1784.784996,1598.716766,1646.668276,1937.828707,1738.882124,2020.650062,1859.929244,1850.665869,1845.469584,1766.193576,2010.623201,2290.249158,2321.069194,2250.007346,2092.245829,2452.069722,2104.573576,2295.869757,2617.272156,2242.416933,2525.008846,2032.536795,1967.412196,1798.206005,2083.479541,1704.484031,1885.991488,1791.629373,1951.206586,1815.965133,
United Arab Emirates,ARE,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,1166.7,1466.7,2242.9,2409.6,2018.7,2000,1417.8,1613.4,1340.2,1185.7,1106.3,808.3,1924.7,2216.5,3494.5,4367.9,4163.1,6414.5,6474,6502.1,15894,17732.5,17148.3,17476.2,17514.4,18115.6,21000,20463,20158.9,20915.1,21379.3,22224.3,24824.8,18027,24031.4,12112.2,36761.9,14254.1,35190.5,33452.5,30777.4,20841.8,23831.8,26022.8,
Argentina,ARG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1410.7,1604.9,1511.2,1695.4,1403.2,1557,1606.4,1313.3,1554.7,1775.3,1783.5,1609.5,2041.4,2046.2,1955.9,1907.2,2134.9,2424.3,2252.2,1874.1,2425,2442.8,2330.1,2581.5,2439.5,2582.2,2382.6,2527.9,2129.4,2250.8,2433.1,2928.6,3054.5,2759.8,2900.2,2715.1,3010.7,3812,3335.6,3461.8,3398.6,3275.7,3308.7,3658.8,4075.8,3707.6,4294,4116.5,3249.3,4876.2,4596.3,4162.4,4795.6,4827.3,4779.1,5203.4,5404.5,4671,5523.7,5212.6,
