Country,CPI,RANK
Denmark,90,1
New Zealand,90,1
Finland,89,3
Sweden,88,4
Switzerland,86,5
Norway,85,6
Singapore,84,7
Netherlands,83,8
Canada,82,9
Germany,81,10
United Kingdom,81,10
Luxembourg,81,10
Australia,79,13
Iceland,78,14
Belgium,77,15
Hong Kong,77,15
Austria,75,17
United States of America,74,18
Ireland,73,19
Japan,72,20
Uruguay,71,21
Estonia,70,22
France,69,23
United Arab Emirates,66,24
Bahamas,66,24
Chile,66,24
Bhutan,65,27
Israel,64,28
Poland,62,29
Portugal,62,29
Barbados,61,31
Qatar,61,31
Slovenia,61,31
Taiwan,61,31
Botswana,60,35
Saint Lucia,60,35
Saint Vincent and the Grenadines,60,35
Cabo Verde,59,38
Dominica,59,38
Lithuania,59,38
Brunei Darussalam,58,41
Costa Rica,58,41
Spain,58,41
Georgia,57,44
Latvia,57,44
Grenada,56,46
Cyprus,55,47
Czech Republic,55,47
Malta,55,47
Mauritius,54,50
Rwanda,54,50
"Korea, South",53,52
Namibia,52,53
Slovakia,51,54
Croatia,49,55
Malaysia,49,55
Hungary,48,57
Jordan,48,57
Romania,48,57
Cuba,47,60
Italy,47,60
Saudi Arabia,46,62
Sao Tome and Principe,46,62
Montenegro,45,64
Oman,45,64
Senegal,45,64
Suriname,45,64
South Africa,45,64
Greece,44,69
Bahrain,43,70
Ghana,43,70
Burkina Faso,42,72
Solomon Islands,42,72
Serbia,42,72
Bulgaria,41,75
Kuwait,41,75
Tunisia,41,75
Turkey,41,75
Belarus,40,79
Brazil,40,79
China,40,79
India,40,79
Albania,39,83
Bosnia and Herzegovina,39,83
Jamaica,39,83
Lesotho,39,83
Mongolia,38,87
Panama,38,87
Zambia,38,87
Colombia,37,90
Indonesia,37,90
Liberia,37,90
Morocco,37,90
North Macedonia,37,90
Argentina,36,95
Benin,36,95
Kosovo,36,95
Sri Lanka,36,95
Maldives,36,95
El Salvador,36,95
Gabon,35,101
Niger,35,101
Peru,35,101
Philippines,35,101
Thailand,35,101
Timor-Leste,35,101
Trinidad and Tobago,35,101
Cote d'Ivoire,34,108
Algeria,34,108
Egypt,34,108
Ethiopia,34,108
Guyana,34,108
Armenia,33,113
Bolivia,33,113
Vietnam,33,113
Mali,32,116
Pakistan,32,116
Togo,32,116
Tanzania,32,116
Dominican Republic,31,120
Ecuador,31,120
Malawi,31,120
Azerbaijan,30,123
Djibouti,30,123
Honduras,30,123
Laos,30,123
Moldova,30,123
Mexico,30,123
Paraguay,30,123
Sierra Leone,30,123
Iran,29,131
Kazakhstan,29,131
Nepal,29,131
Russia,29,131
Ukraine,29,131
Guatemala,28,136
Kyrgyzstan,28,136
Lebanon,28,136
Myanmar,28,136
Nigeria,28,136
Papua New Guinea,28,136
Guinea,27,142
Mozambique,27,142
Mauritania,27,142
Bangladesh,26,145
Cameroon,26,145
Gambia,26,145
Kenya,26,145
Madagascar,26,145
Nicaragua,26,145
Tajikistan,25,151
Uganda,25,151
Comoros,24,153
Turkmenistan,22,154
Zimbabwe,22,154
Democratic Republic of the Congo,21,156
Cambodia,21,156
Uzbekistan,21,156
Burundi,20,159
Central African Republic,20,159
Congo,20,159
Haiti,20,159
Chad,20,159
Angola,18,164
Eritrea,18,164
Iraq,17,166
Venezuela,17,166
Guinea Bissau,16,168
Afghanistan,15,169
Libya,14,170
Sudan,14,170
Yemen,14,170
Syria,13,173
"Korea, North",12,174
South Sudan,11,175
Somalia,10,176
