Title,fontbold,w16
Denmark,88,1
New Zealand,87,2
Switzerland,85,3
Finland,85,3
Singapore,85,3
Sweden,85,3
Norway,84,7
Netherlands,82,8
Canada,81,9
Luxembourg,81,9
Germany,80,11
United Kingdom,80,11
Australia,77,13
Austria,76,14
Hong Kong,76,14
Iceland,76,14
Belgium,75,17
Estonia,73,18
Ireland,73,18
Japan,73,18
France,72,21
United States of America,71,22
United Arab Emirates,70,23
Uruguay,70,23
Barbados,68,25
Bhutan,68,25
Chile,67,27
Seychelles,66,28
Bahamas,65,29
Portugal,64,30
Brunei Darussalam,63,31
Taiwan,63,31
Qatar,62,33
Botswana,61,34
Israel,61,34
Poland,60,36
Slovenia,60,36
Cyprus,59,38
Czech Republic,59,38
Lithuania,59,38
Spain,58,41
Georgia,58,41
Latvia,58,41
Saint Vincent and the Grenadines,58,41
Cabo Verde,57,45
Dominica,57,45
"Korea, South",57,45
Costa Rica,56,48
Rwanda,56,48
Saint Lucia,55,50
Malta,54,51
Namibia,53,52
Grenada,52,53
Italy,52,53
Oman,52,53
Mauritius,51,56
Slovakia,50,57
Jordan,49,58
Saudi Arabia,49,58
Croatia,48,60
Cuba,47,61
Malaysia,47,61
Romania,47,61
Hungary,46,64
Sao Tome and Principe,46,64
Vanuatu,46,64
Greece,45,67
Montenegro,45,67
Senegal,45,67
Belarus,44,70
Jamaica,44,70
Solomon Islands,44,70
Morocco,43,73
Suriname,43,73
Tunisia,43,73
South Africa,43,73
Bulgaria,42,77
Burkina Faso,41,78
Ghana,41,78
India,41,78
Kuwait,41,78
Lesotho,41,78
Trinidad and Tobago,41,78
Turkey,41,78
Argentina,40,85
Benin,40,85
China,39,87
Serbia,39,87
Bosnia and Herzegovina,38,89
Indonesia,38,89
Sri Lanka,38,89
Eswatini,38,89
Gambia,37,93
Guyana,37,93
Kosovo,37,93
North Macedonia,37,93
Mongolia,37,93
Panama,37,93
Albania,36,99
Bahrain,36,99
Colombia,36,99
Philippines,36,99
Thailand,36,99
Tanzania,36,99
Armenia,35,105
Brazil,35,105
Cote d'Ivoire,35,105
Algeria,35,105
Egypt,35,105
Peru,35,105
El Salvador,35,105
Timor-Leste,35,105
Zambia,35,105
Ecuador,34,114
Ethiopia,34,114
Niger,34,114
Moldova,33,117
Pakistan,33,117
Vietnam,33,117
Liberia,32,120
Mali,32,120
Malawi,32,120
Ukraine,32,120
Djibouti,31,124
Gabon,31,124
Kazakhstan,31,124
Maldives,31,124
Nepal,31,124
Dominican Republic,30,129
Sierra Leone,30,129
Togo,30,129
Bolivia,29,132
Honduras,29,132
Kyrgyzstan,29,132
Laos,29,132
Myanmar,29,132
Paraguay,29,132
Guinea,28,138
Iran,28,138
Lebanon,28,138
Mexico,28,138
Papua New Guinea,28,138
Russia,28,138
Comoros,27,144
Guatemala,27,144
Kenya,27,144
Mauritania,27,144
Nigeria,27,144
Bangladesh,26,149
Central African Republic,26,149
Uganda,26,149
Azerbaijan,25,152
Cameroon,25,152
Madagascar,25,152
Nicaragua,25,152
Tajikistan,25,152
Eritrea,24,157
Mozambique,23,158
Uzbekistan,23,158
Zimbabwe,22,160
Democratic Republic of the Congo,20,161
Haiti,20,161
Cambodia,20,161
Turkmenistan,20,161
Angola,19,165
Congo,19,165
Chad,19,165
Iraq,18,168
Venezuela,18,168
Burundi,17,170
Libya,17,170
Afghanistan,16,172
Guinea Bissau,16,172
Equatorial Guinea,16,172
Sudan,16,172
"Korea, North",14,176
Yemen,14,176
South Sudan,13,178
Syria,13,178
Somalia,10,180
